0,lemma,frequency
ausgeben,ausgeben,1842
der Rand,Rand,1841
westlich,westlich,1833
raus,raus,1828
das Kapitel,Kapitel,1820
der Bauer,Bauer,1817
zurzeit,Zurzeit,1817
motivieren,motivieren,1811
momentan,momentan,1793
das Flugzeug,Flugzeug,1781
das Kino,Kino,1781
der Traum,Traum,1773
verstecken,verstecken,1772
der Alkohol,Alkohol,1768
anschließen,anschließen,1763
militärisch,militärisch,1763
springen,springen,1762
die Schwester,Schwester,1762
der Stein,Stein,1762
Großbritannien,Großbritannien,1761
zuordnen,zuordnen,1759
klappen,klappen,1756
klappen,klappen,1756
hauptsächlich,hauptsächlich,1752
die Religion,Religion,1751
der Protest,Protest,1739
dick,dick,1738
die Identität,Identität,1730
die Kasse,Kasse,1730
die Armee,Armee,1726
gelb,gelb,1726
solange,solange,1725
die Kleidung,Kleidung,1718
unglaublich,unglaublich,1717
der Stil,Stil,1705
das Praktikum,Praktikum,1702
wunderbar,wunderbar,1698
normalerweise,normalerweise,1698
schwarz,Schwarz,1693
das Paket,Paket,1680
die Brücke,Brücke,1668
weiblich,weiblich,1666
klagen,klagen,1665
der König,König,1665
das Fahrrad,Fahrrad,1662
der Liter,Liter,1661
schenken,schenken,1659
der Hof,Hof,1641
das Gegenteil,Gegenteil,1631
vermissen,vermissen,1629
wecken,wecken,1628
der Geschmack,Geschmack,1626
die Auskunft,Auskunft,1621
bewahren,bewahren,1606
die Tabelle,Tabelle,1601
der Baum,Baum,1600
das Café,Café,1595
die Zeitschrift,Zeitschrift,1595
der Job,Job,1589
kompliziert,kompliziert,1587
angreifen,angreifen,1586
der Gutschein,Gutschein,1585
mitnehmen,mitnehmen,1584
die Mischung,Mischung,1582
nett,nett,1580
die Herkunft,Herkunft,1580
tödlich,tödlich,1578
der Motor,Motor,1576
die Beschreibung,Beschreibung,1574
mieten,mieten,1571
die Anleitung,Anleitung,1564
draußen,draußen,1560
schlafen,schlafen,1547
männlich,männlich,1546
ehrlich,ehrlich,1546
herum,herum,1540
die Freizeit,Freizeit,1540
die Impfung,Impfung,1538
das Blut,Blut,1538
der Keller,Keller,1537
der Eingang,Eingang,1537
die Tasche,Tasche,1529
das Datum,Datum,1528
mitmachen,mitmachen,1528
die Daten,Datum,1528
die Türkei,Türkei,1524
unterhalten,unterhalten,1518
unterhalten,unterhalten,1518
der Stress,Stress,1504
unterschreiben,unterschreiben,1490
heiß,heiß,1488
das Argument,Argument,1487
forschen,forschen,1486
der Tourismus,Tourismus,1484
die Kenntnisse,Kenntnis,1478
bedanken,bedanken,1478
die Apotheke,Apotheke,1473
das Instrument,Instrument,1466
wandern,wandern,1465
bar,bar,1463
markieren,markieren,1460
das Eis,Eis,1453
der Bruder,Bruder,1452
türkisch,türkisch,1440
der Parkplatz,Parkplatz,1437
schmecken,schmecken,1435
der Bildschirm,Bildschirm,1435
die Freundin,Freundin,1434
abnehmen,abnehmen,1432
das Album,Album,1431
der Fisch,Fisch,1431
der Tourist,Tourist,1430
das Fleisch,Fleisch,1429
schwächen,Schwäche,1429
herunterladen,herunterladen,1420
das Gemüse,Gemüse,1414
lebend,lebend,1412
der Zentimeter,Zentimeter,1412
hinten,hinten,1410
grau,grau,1396
der Quadratmeter,Quadratmeter,1395
polnisch,polnisch,1392
ehren,ehren,1383
nützlich,nützlich,1376
das Lager,Lager,1375
vorsichtig,vorsichtig,1375
die Miete,Miete,1372
lustig,lustig,1365
tanzen,tanzen,1363
der Kindergarten,Kindergarten,1359
der-diev Reisende,reisend,1357
der Charakter,Charakter,1354
religiös,religiös,1351
mächtig,mächtig,1349
ungefähr,ungefähr,1349
brennen,brennen,1347
das Frühstück,Frühstück,1346
der Spiegel,Spiegel,1346
der Typ,Typ,1344
das Glas,Glas,1343
das Passwort,Passwort,1341
der Feiertag,Feiertag,1340
die Ecke,Ecke,1339
das Baby,Baby,1339
einsehen,einsehen,1334
ansetzen,ansetzen,1327
das Abenteuer,Abenteuer,1326
notieren,notieren,1324
kühl,kühl,1323
Afrika,Afrika,1323
einkaufen,einkaufen,1318
froh,froh,1318
das Boot,Boot,1316
wunderschön,wunderschön,1316
Schweden,Schweden,1314
probieren,probieren,1311
die Überraschung,Überraschung,1307
kriegen,kriegen,1306
das Gas,Gas,1301
das Pferd,Pferd,1299
großzügig,großzügig,1298
enttäuscht,enttäuschen,1295
der Gebrauch,Gebrauch,1292
die Hitze,Hitze,1291
die Niederlande,Niederlande,1288
vorkommen,vorkommen,1288
der Wolf,Wolf,1283
der Architekt,Architekt,1282
ausmachen,ausmachen,1279
tauschen,tauschen,1274
der Pfarrer,Pfarrer,1274
circa,circa,1267
traurig,traurig,1262
das Geschenk,Geschenk,1259
billig,billig,1259
der Umzug,Umzug,1258
dran,dran,1253
die Nase,Nase,1248
der Strand,Strand,1248
der Sportler,Sportler,1243
Amerika,Amerika,1241
generieren,generieren,1239
der Direktor,Direktor,1235
der Schuh,Schuh,1232
die Unterhaltung,Unterhaltung,1230
das Bier,Bier,1224
der Fortschritt,Fortschritt,1220
der Geist,Geist,1220
die Wand,Wand,1220
mehrmals,mehrmals,1210
ordnen,ordnen,1208
die Datei,Datei,1206
süß,süß,1204
cool,cool,1198
der Anschlag,Anschlag,1188
das Messer,Messer,1187
das Tablet,Tablet,1186
packen,packen,1185
böse,böse,1183
hinein,hinein,1179
der Planet,Planet,1175
heiraten,heiraten,1172
der Empfänger,Empfänger,1168
das Kilogramm,Kilogramm,1167
der Tipp,Tipp,1165
übersetzen,übersetzen,1160
schwimmen,schwimmen,1160
Brasilien,Brasilien,1159
der Schnee,Schnee,1157
absagen,absagen,1154
malen,malen,1151
einheimisch,einheimisch,1151
entlassen,entlassen,1150
die Jahreszeit,Jahreszeit,1141
schieben,schieben,1136
demnächst,demnächst,1136
der Ausflug,Ausflug,1136
verborgen,verbergen,1134
der Führerschein,Führerschein,1130
die Mauer,Mauer,1130
der Schatten,Schatten,1129
einziehen,einziehen,1128
unmöglich,unmöglich,1128
drucken,drucken,1124
abholen,abholen,1123
der Sturm,Sturm,1123
vorwerfen,vorwerfen,1120
die Baustelle,Baustelle,1119
die Note,Note,1116
der Kritiker,Kritiker,1115
das Gehirn,Gehirn,1115
die Party,Party,1109
Australien,Australien,1100
der Sänger,Sänger,1099
vergehen,vergehen,1093
mutig,mutig,1093
vorschlagen,vorschlagen,1093
hoffentlich,hoffentlich,1089
der Müll,Müll,1085
die Demonstration,Demonstration,1083
die Unterschrift,Unterschrift,1081
gelegentlich,gelegentlich,1081
die Temperatur,Temperatur,1080
die Armut,Armut,1079
einig,einig,1079
das Budget,Budget,1078
die Sprecherin,Sprecherin,1074
das Militär,Militär,1072
flach,flach,1072
das Geschlecht,Geschlecht,1071
ausgerechnet,ausgerechnet,1063
hell,hell,1061
geheim,geheim,1060
optimistisch,optimistisch,1060
die Schulter,Schulter,1056
der Regisseur,Regisseur,1055
verweigern,verweigern,1053
rauchen,rauchen,1049
die Werkstatt,Werkstatt,1046
träumen,träumen,1045
der Kuchen,Kuchen,1040
konservativ,konservativ,1039
waschen,waschen,1036
die Schauspielerin,Schauspielerin,1034
die Route,Route,1030
bitter,bitter,1029
besichtigen,besichtigen,1021
verheiratet,verheiraten,1021
dünn,dünn,1019
der Mord,Mord,1019
erfinden,erfinden,1017
das Gefängnis,Gefängnis,1015
streiten,streiten,1009
wenigstens,wenigstens,1007
die Tafel,Tafel,1006
die Feier,Feier,1005
der Ärger,Ärger,1004
das Obst,Obst,1004
die Zutat,Zutat,1003
das Brot,Brot,1001
der Buchstabe,Buchstabe,1001
der Zoo,Zoo,996
die Mode,Mode,995
leise,leise,994
weich,weich,993
die Autorin,Autorin,992
der Löwe,Löwe,992
die Flasche,Flasche,986
anhalten,anhalten,985
der Krebs,Krebs,984
ausfüllen,ausfüllen,983
der Verkäufer,Verkäufer,982
das Zeug,Zeug,981
ernsthaft,ernsthaft,977
das Gehalt,Gehalt,974
der Flug,Flug,973
die Milch,Milch,970
anrufen,anrufen,970
gewöhnlich,gewöhnlich,967
der Auftritt,Auftritt,966
die Unterkunft,Unterkunft,965
der Kredit,Kredit,964
drin,drin,964
fotografieren,fotografieren,964
der Prinz,Prinz,962
zurückgehen,zurückgehen,961
erwischen,erwischen,958
der Koch,Koch,953
die Sehenswürdigkeit,Sehenswürdigkeit,952
drauf,drauf,949
das Lied,Lied,946
östlich,östlich,946
ewig,ewig,944
die Hochzeit,Hochzeit,943
ignorieren,ignorieren,943
das Möbel,Möbel,942
lecker,lecker,939
sowieso,sowieso,937
korrigieren,korrigieren,936
neugierig,neugierig,936
austragen,austragen,935
dorthin,dorthin,934
die Terrasse,Terrasse,931
der Tanz,Tanz,930
der Finger,Finger,928
der Vormittag,Vormittag,928
der Mietvertrag,Mietvertrag,926
der Blog,Blog,923
das Leid,Leid,923
das Heft,Heft,916
schmal,schmal,914
der Kalender,Kalender,913
die Heizung,Heizung,911
die Ehefrau,Ehefrau,910
die Schönheit,Schönheit,909
das Verkehrsmittel,Verkehrsmittel,908
die Reparatur,Reparatur,906
das Plakat,Plakat,906
das Gramm,Gramm,902
die Kreditkarte,Kreditkarte,901
romantisch,romantisch,898
der Balkon,Balkon,894
der Sponsor,Sponsor,894
die Übung,Übung,892
ringen,ringen,892
baden,baden,889
die Schau,Schau,888
das Geheimnis,Geheimnis,880
der Tee,Tee,880
einsteigen,einsteigen,878
aufhören,aufhören,875
backen,backen,872
der Fernseher,Fernseher,867
der Rentner,Rentner,866
fortgeschritten,fortgeschritten,865
klug,klug,865
die Villa,Villa,863
pünktlich,pünktlich,857
die Anstrengung,Anstrengung,853
der Mund,Mund,851
die Reinigung,Reinigung,850
die Maus,Maus,850
der Zufall,Zufall,849
hinterlegen,hinterlegen,849
silber,Silber,847
sortiert,sortieren,846
sortieren,sortieren,846
das Paar,Paar,843
parken,parken,837
Asien,Asien,837
langweilig,langweilig,834
die Toilette,Toilette,832
gießen,gießen,830
der Frühling,Frühling,828
der Kontinent,Kontinent,827
die Kreuzung,Kreuzung,825
der Bescheid,Bescheid,823
die Schülerin,Schülerin,822
das Metall,Metall,816
die Sängerin,Sängerin,813
der Pilot,Pilot,810
die Erlaubnis,Erlaubnis,808
die Neuigkeit,Neuigkeit,807
satt,satt,805
die Absicht,Absicht,804
gratulieren,gratulieren,804
das Ohr,Ohr,804
vernünftig,vernünftig,803
das Motorrad,Motorrad,802
der Hass,Hass,800
eingeben,eingeben,799
die Gegend,Gegend,796
anstrengend,anstrengend,795
der Sand,Sand,794
einschalten,einschalten,793
vermieten,vermieten,793
französisch,Französisch,791
die Wolke,Wolke,789
das Blatt,Blatt,789
die Bakterie,Bakterie,788
entspannen,entspannen,786
der Lärm,Lärm,786
glatt,glatt,782
überweisen,überweisen,779
der Rock,Rock,779
die Lehrerin,Lehrerin,776
das Wohnzimmer,Wohnzimmer,776
der Ring,Ring,773
die Laune,Laune,773
der Schriftsteller,Schriftsteller,771
islamisch,islamisch,771
nominieren,nominieren,771
die Ankunft,Ankunft,771
unvergesslich,unvergesslich,771
unterhaltsam,unterhaltsam,767
die Trauer,Trauer,764
geschieden,scheiden,762
die Ampel,Ampel,760
die Flüssigkeit,Flüssigkeit,759
der Ausländer,Ausländer,757
anziehen,anziehen,754
der Feind,Feind,753
der Vogel,Vogel,752
das Gedicht,Gedicht,752
der Mittag,Mittag,750
der Fluss,Fluss,749
basteln,basteln,748
der Laptop,Laptop,738
zuhören,zuhören,738
der Demonstrant,Demonstrant,737
lächeln,Lächel,736
die Haltestelle,Haltestelle,732
der Supermarkt,Supermarkt,730
der Hunger,Hunger,730
die Hose,Hose,727
das Rätsel,Rätsel,723
kaputt,kaputt,723
der Notfall,Notfall,723
die Träne,Träne,723
der Bauch,Bauch,717
das Salz,Salz,717
manuell,manuell,715
schädlich,schädlich,714
telefonieren,telefonieren,714
der Ausgang,Ausgang,713
faszinieren,faszinieren,708
die Garage,Garage,706
die Übersetzung,Übersetzung,703
die Wiese,Wiese,702
die Künstlerin,Künstlerin,702
der Durchbruch,Durchbruch,696
der Rundgang,Rundgang,696
surfen,surfen,691
die Treppe,Treppe,691
die Kartoffel,Kartoffel,691
der Engel,Engel,688
reparieren,reparieren,687
ärgern,ärgern,687
das Loch,Loch,687
das Zeugnis,Zeugnis,686
braun,Braun,683
schrecklich,schrecklich,678
jubeln,jubeln,676
die Tankstelle,Tankstelle,671
fantastisch,fantastisch,671
der Stock,Stock,670
der Ehemann,Ehemann,669
flüssig,flüssig,667
die Präsidentin,Präsidentin,665
der Anruf,Anruf,664
der Applaus,Applaus,664
verlieben,verlieben,660
verliebt,verlieben,660
reservieren,reservieren,660
die Fabrik,Fabrik,659
die Brust,Brust,658
das Erdgeschoss,Erdgeschoss,657
gucken,gucken,655
der Stahl,Stahl,653
der Schmuck,Schmuck,652
der Bär,Bär,651
ausschalten,ausschalten,650
gratis,gratis,647
aufregend,aufregend,643
trocknen,trocknen,641
Portugal,Portugal,639
die Ehre,Ehre,638
populär,populär,636
der Wohnort,Wohnort,635
die Dame,Dame,633
wach,wach,632
glänzen,glänzen,629
der Mond,Mond,629
die Mensa,Mensa,626
der Hals,Hals,623
das Gepäck,Gepäck,621
die Kette,Kette,616
der Pass,Pass,615
der Koffer,Koffer,615
die Schlange,Schlange,614
der Honig,Honig,613
das Plastik,Plastik,610
der Muskel,Muskel,610
die Spezialität,Spezialität,607
die Brille,Brille,606
die Straßenbahn,Straßenbahn,604
die Schokolade,Schokolade,599
die Lippe,Lippe,597
schmerzhaft,schmerzhaft,597
die Schmerzen,Schmerz,597
fleißig,fleißig,596
entschuldigen,entschuldigen,595
das Märchen,Märchen,593
erfolglos,erfolglos,593
fett,Fett,592
der Premierminister,Premierminister,588
die Erfindung,Erfindung,588
der Kühlschrank,Kühlschrank,587
das Abendessen,Abendessen,586
einsam,einsam,586
umziehen,umziehen,584
das Knie,Knie,581
der Hut,Hut,581
atmen,atmen,578
die Mitternacht,Mitternacht,578
verrückt,verrückt,576
die Klärung,Klärung,575
der Salat,Salat,575
der Dichter,Dichter,573
die Bürgermeisterin,Bürgermeisterin,572
der Meilenstein,Meilenstein,570
die Abfahrt,Abfahrt,566
hübsch,hübsch,565
der Techniker,Techniker,560
die Kabine,Kabine,559
erschießen,erschießen,558
das Stipendium,Stipendium,557
die Hausaufgabe,Hausaufgabe,554
kleben,kleben,553
jemals,jemals,553
der Kopfhörer,Kopfhörer,552
jagen,jagen,551
genial,genial,550
der Teller,Teller,550
die Fertigkeit,Fertigkeit,548
weinen,weinen,546
riechen,riechen,545
respektieren,respektieren,545
das Gedächtnis,Gedächtnis,544
der Käse,Käse,543
komisch,komisch,542
das Gewitter,Gewitter,541
das Schlafzimmer,Schlafzimmer,540
die Dose,Dose,540
das Taxi,Taxi,539
die Kollegin,Kollegin,538
die Partnerin,Partnerin,536
renovieren,renovieren,533
der Drucker,Drucker,533
zugeben,zugeben,531
die Prinzessin,Prinzessin,530
der Schreibtisch,Schreibtisch,530
daheim,daheim,529
das Schaf,Schaf,528
der Stuhl,Stuhl,526
das Drama,Drama,525
die Fluggesellschaft,Fluggesellschaft,525
die Münze,Münze,525
die Königin,Königin,522
die Tastatur,Tastatur,522
der Topf,Topf,522
müde,müde,518
überqueren,überqueren,518
schreien,schreien,516
vernachlässigen,vernachlässigen,515
das Gemälde,Gemälde,514
losgehen,losgehen,512
das Schild,Schild,510
witzig,witzig,508
beschweren,beschweren,505
die Geschwister,Geschwister,505
die Portion,Portion,505
das Spielzeug,Spielzeug,502
ahnen,ahnen,501
muslimisch,muslimisch,501
der Witz,Witz,500
spanisch,Spanisch,499
brasilianisch,brasilianisch,499
der Flur,Flur,497
die Kerze,Kerze,497
putzen,putzen,496
entführen,entführen,496
das Hobby,Hobby,495
schlank,schlank,494
Argentinien,Argentinien,492
der Historiker,Historiker,486
das Fieber,Fieber,485
regnen,regnen,480
wirkungsvoll,wirkungsvoll,480
die Rose,Rose,479
der Teppich,Teppich,475
der Bogen,Bogen,474
die Butter,Butter,474
ausziehen,ausziehen,473
schwanger,schwanger,473
wütend,wütend,472
die Gitarre,Gitarre,472
das Klavier,Klavier,471
der Stift,Stift,470
die Waschmaschine,Waschmaschine,470
blühen,blühen,468
peinlich,peinlich,467
nass,nass,465
umsonst,umsonst,464
der Aktivist,Aktivist,463
die Lampe,Lampe,461
klingeln,klingeln,460
schief,schief,460
grillen,grillen,460
runter,Runter,459
die Hauptstraße,Hauptstraße,458
das Pfund,Pfund,456
tippen,tippen,454
die Tasse,Tasse,453
die Dusche,Dusche,448
die Ahnung,Ahnung,447
aufstehen,aufstehen,447
der Kasten,Kasten,447
schwitzen,schwitzen,441
das Spazieren,spazieren,439
übernachten,übernachten,438
weh,weh,436
der Geruch,Geruch,435
rosa,Rosa,434
der Elefant,Elefant,433
abbiegen,abbiegen,432
zurückgeben,zurückgeben,430
der Teufel,Teufel,429
die Fahrerin,Fahrerin,428
der Rucksack,Rucksack,427
der Abfall,Abfall,427
der Ausweis,Ausweis,426
der Priester,Priester,426
unheimlich,unheimlich,424
katastrophal,katastrophal,422
das Grab,Grab,420
die Kneipe,Kneipe,420
dumm,dumm,419
nervös,nervös,418
die Bäckerei,Bäckerei,417
der Wein,Wein,416
die Suppe,Suppe,416
das Sofa,Sofa,416
der Enkel,Enkel,415
die Jacke,Jacke,414
die Landstraße,Landstraße,413
das Leder,Leder,412
der-die Verwandte,verwandte,411
verwandte,verwandte,411
das Kissen,Kissen,411
erwerbstätig,erwerbstätig,409
der Schatz,Schatz,409
das Endspiel,Endspiel,409
der Teenager,Teenager,409
tanken,tanken,409
sauer,sauer,409
die Journalistin,Journalistin,407
der Jahrestag,Jahrestag,405
die Gasse,Gasse,405
verschreiben,verschreiben,405
der Daumen,Daumen,403
aufpassen,aufpassen,402
der Samen,Samen,402
einfallen,einfallen,401
die Pizza,Pizza,398
die Wüste,Wüste,397
das Mobiltelefon,Mobiltelefon,396
das Tennis,Tennis,395
der Zettel,Zettel,395
mangeln,mangeln,393
der Agent,Agent,393
die Wäsche,Wäsche,392
das Regal,Regal,392
die Staatsangehörigkeit,Staatsangehörigkeit,391
geil,geil,391
erschöpft,erschöpfen,390
das Aluminium,Aluminium,390
blutig,blutig,389
das Badezimmer,Badezimmer,388
selbstbewusst,Selbstbewusst,387
der Fahrplan,Fahrplan,387
die Kaution,Kaution,383
die Besserung,Besserung,380
zurücknehmen,zurücknehmen,379
grausam,grausam,378
drinnen,drinnen,378
der Mörder,Mörder,377
die Patientin,Patientin,376
der Knoten,Knoten,373
umsteigen,umsteigen,372
der Magen,Magen,372
die Tablette,Tablette,371
der Held,Held,370
das Gras,Gras,368
der Schalter,Schalter,368
lügen,lügen,367
das Gleis,Gleis,364
der Krimi,Krimi,361
köstlich,köstlich,359
wahnsinnig,wahnsinnig,359
der Nachname,Nachname,357
aussteigen,aussteigen,357
das Stockwerk,Stockwerk,355
anfassen,anfassen,354
der Reis,Reis,351
orange,Orange,351
die Orange,Orange,351
die Jeans,Jeans,351
die Tomate,Tomate,350
der Basketball,Basketball,349
die Entschuldigung,Entschuldigung,345
prima,prima,344
der Comic,Comic,342
das Kleid,Kleid,342
förmlich,förmlich,341
die Bar,Bar,339
formell,formell,338
reiten,reiten,338
betrunken,betrunken,336
duschen,Duschen,333
die Chefin,Chefin,333
die Komödie,Komödie,329
das Poster,Poster,329
informell,informell,327
das Schwimmbad,Schwimmbad,327
das Benzin,Benzin,327
die Diät,Diät,327
der Schmetterling,Schmetterling,325
der Ozean,Ozean,324
die Reservierung,Reservierung,323
merkwürdig,merkwürdig,323
der Karton,Karton,321
nebenan,nebenan,321
die Studentin,Studentin,319
der Kohl,Kohl,317
Vietnam,Vietnam,317
der Pfeffer,Pfeffer,316
der Onkel,Onkel,314
die Süßigkeit,Süßigkeit,313
woanders,woanders,312
checken,checken,312
die Postleitzahl,Postleitzahl,311
der Aufzug,Aufzug,311
die Direktorin,Direktorin,311
furchtbar,furchtbar,311
hassen,hassen,310
falten,falten,309
die Zeremonie,Zeremonie,309
die Dekoration,Dekoration,309
die Gewohnheit,Gewohnheit,308
das Brett,Brett,307
die Affäre,Affäre,307
klopfen,klopfen,307
arbeitslos,arbeitslos,306
der Schrank,Schrank,304
aufgeregt,aufgeregt,302
unterdrücken,unterdrücken,302
der Glückwunsch,Glückwunsch,302
die Großmutter,Großmutter,301
die Notiz,Notiz,300
der Räuber,Räuber,299
der Tänzer,Tänzer,299
das Brötchen,Brötchen,298
die Aufschrift,Aufschrift,297
die Hummel,Hummel,296
das Mehl,Mehl,295
wetten,wetten,294
absichtlich,absichtlich,293
stressig,stressig,292
der Fachmann,Fachmann,287
die Bushaltestelle,Bushaltestelle,287
zurückkommen,zurückkommen,287
die Erdbeere,Erdbeere,286
die Verspätung,Verspätung,286
der Großvater,Großvater,285
der Kiosk,Kiosk,285
übel,Übel,285
der Reisepass,Reisepass,284
die Verzweiflung,Verzweiflung,284
die Zwiebel,Zwiebel,284
der Schein,Schein,283
die Stirn,Stirn,281
der Pilz,Pilz,281
der Saft,Saft,280
die Packung,Packung,280
aufwachen,aufwachen,279
der Ingenieur,Ingenieur,277
die Rezeption,Rezeption,277
der Nagel,Nagel,274
die Grippe,Grippe,273
die Schlacht,Schlacht,273
die Kuh,Kuh,272
schweizerisch,schweizerisch,272
geduldig,geduldig,271
die Nudeln,Nudel,270
auskennen,auskennen,270
begraben,begraben,269
der Bäcker,Bäcker,268
jährig,jährig,268
klauen,klauen,268
der Prospekt,Prospekt,268
das Diplom,Diplom,268
die Wurst,Wurst,268
die Zunge,Zunge,267
die Sahne,Sahne,267
blond,blond,267
verabreden,verabreden,267
hungrig,hungrig,267
die Puppe,Puppe,267
schmutzig,schmutzig,264
der Anzug,Anzug,264
die Blume,Blume,262
der Feierabend,Feierabend,262
verloben,verloben,262
abfahren,abfahren,262
die Cafeteria,Cafeteria,260
die Fernbedienung,Fernbedienung,260
verkleiden,verkleiden,259
das Schwein,Schwein,259
spannen,spannen,259
der Apfel,Apfel,258
die Baumwolle,Baumwolle,258
hierher,hierher,257
das Genre,Genre,256
küssen,küssen,256
italienisch,Italienisch,256
der Blitz,Blitz,255
geschockt,schocken,255
der Herd,Herd,254
der Vorname,Vorname,254
die Regisseurin,Regisseurin,254
faul,faul,252
der Becher,Becher,251
der Kumpel,Kumpel,251
leihen,leihen,250
umbringen,umbringen,249
gebraten,braten,249
Nigeria,Nigeria,249
die Asche,Asche,248
die Ansage,Ansage,247
der Imbiss,Imbiss,247
der Zahn,Zahn,245
die Grammatik,Grammatik,245
die Sauberkeit,Sauberkeit,244
die Socke,Socke,243
die Hüfte,Hüfte,242
der Sack,Sack,242
die Bohne,Bohne,241
das Mädel,Mädel,241
abgesperrt,absperren,240
der Appetit,Appetit,238
nirgends,nirgends,238
die Keramik,Keramik,238
der Vorhang,Vorhang,237
joggen,joggen,237
das Kaninchen,Kaninchen,237
blitzen,blitzen,237
geradeaus,geradeaus,237
der Friseur,Friseur,237
anzünden,anzünden,237
die Ermäßigung,Ermäßigung,236
das Date,Date,235
das Seil,Seil,234
die Zigarette,Zigarette,233
konkurrieren,konkurrieren,233
blöd,blöd,231
das Geburtsdatum,Geburtsdatum,231
der Winzer,Winzer,231
spinnen,spinnen,231
herein,herein,231
nervig,nervig,229
modisch,modisch,228
zerbrechen,zerbrechen,227
das Doppelzimmer,Doppelzimmer,227
der Straftäter,Straftäter,226
die Tante,Tante,226
die Pommes,Pommes,226
höflich,höflich,225
der Dschungel,Dschungel,225
die Visitenkarte,Visitenkarte,224
der Gruß,Gruß,224
der Ehepartner,Ehepartner,223
argentinisch,argentinisch,223
der Bart,Bart,222
der Programmierer,Programmierer,221
die Lektion,Lektion,221
das Reisebüro,Reisebüro,221
das Ballett,Ballett,221
der Nacken,Nacken,220
die Kosmetik,Kosmetik,220
der Gürtel,Gürtel,219
der Joghurt,Joghurt,219
der Flohmarkt,Flohmarkt,218
die Witwe,Witwe,217
die Doku,Doku,216
der Wagen,Wagen,215
das Taschengeld,Taschengeld,214
der Schaden,Schaden,213
rum,rum,213
die Schriftstellerin,Schriftstellerin,213
das Mineralwasser,Mineralwasser,210
der Unsinn,Unsinn,210
gruselig,gruselig,210
die Lüge,Lüge,207
die Reportage,Reportage,207
arrangieren,arrangieren,207
der Mantel,Mantel,207
das Dessert,Dessert,207
einschlafen,einschlafen,206
hässlich,hässlich,205
auspacken,auspacken,204
einpacken,einpacken,204
der Zirkus,Zirkus,204
die Frisur,Frisur,203
nicken,nicken,203
der Pullover,Pullover,203
die Speisekarte,Speisekarte,202
ausruhen,ausruhen,202
das Geschirr,Geschirr,200
die Schere,Schere,200
schimpfen,schimpfen,199
die Badewanne,Badewanne,199
der Oberschenkel,Oberschenkel,198
das Hemd,Hemd,198
der Kompass,Kompass,197
der Bahnsteig,Bahnsteig,197
die Beamtin,Beamtin,196
das Portemonnaie,Portemonnaie,195
trösten,trösten,193
der Knall,Knall,193
das Hormon,Hormon,193
die Meile,Meile,192
rau,Rau,192
bewölkt,Bewölkt,191
die Seife,Seife,191
die Braut,Braut,191
verwirrt,verwirrt,191
die Disco,Disco,190
das Lächeln,lächeln,188
vorwärts,vorwärts,187
neulich,neulich,187
verreist,verreisen,185
verreisen,verreisen,185
das Gebirge,Gebirge,184
pink,Pink,184
der Treibstoff,Treibstoff,184
nachher,nachher,183
der Abflug,Abflug,183
der Wecker,Wecker,183
die Erkältung,Erkältung,182
grinsen,grinsen,182
Äthiopien,Äthiopien,182
der Kellner,Kellner,182
der Untertitel,Untertitel,181
die Geldbörse,Geldbörse,181
der Schweiß,Schweiß,181
die Popularität,Popularität,179
eilig,eilig,179
der Volleyball,Volleyball,179
die Biene,Biene,179
der Mist,Mist,176
der Sessel,Sessel,175
krass,krass,175
das Handtuch,Handtuch,175
die Gurke,Gurke,175
das Schwert,Schwert,174
das Porzellan,Porzellan,174
der Doktor,Doktor,173
vergiften,vergiften,173
das Gebäck,Gebäck,172
die Soße,Soße,172
der Kuss,Kuss,171
der Heimweg,Heimweg,171
der Pakt,Pakt,170
der Fuß,Fuß,170
unbequem,unbequem,170
der Knoblauch,Knoblauch,169
sexy,Sexy,167
sonnig,Sonnig,167
die Marmelade,Marmelade,165
der Vorsatz,Vorsatz,165
pessimistisch,pessimistisch,164
die Nationalität,Nationalität,163
chatten,chatten,163
die Eile,Eile,163
gestresst,stressen,160
das Reh,Reh,160
der Felsen,Fels,160
lila,Lila,159
das Mitleid,Mitleid,159
der Durst,Durst,158
uralt,uralt,158
die Tram,Tram,158
die Textur,Textur,156
der Schlauch,Schlauch,156
letzt,letzt,155
schüchtern,schüchtern,154
wärmen,wärmen,154
die Klamotte,Klamotte,153
das Gewürz,Gewürz,152
die Bewohnerin,Bewohnerin,151
der Eimer,Eimer,151
die Kundin,Kundin,150
der Löffel,Löffel,150
frühstücken,frühstücken,149
der Essig,Essig,149
die Sohle,Sohle,147
die Tüte,Tüte,146
ängstlich,ängstlich,146
widerstehen,widerstehen,145
diszipliniert,diszipliniert,145
der Bub,Bub,144
der Millionär,Millionär,144
der Wochentag,Wochentag,144
der Fahrgast,Fahrgast,143
die Kirsche,Kirsche,143
die Mikrowelle,Mikrowelle,143
die Arktis,Arktis,143
das Kostüm,Kostüm,142
der Stiefel,Stiefel,142
die Sonnenbrille,Sonnenbrille,142
die Mütze,Mütze,141
die Antarktis,Antarktis,140
die Briefmarke,Briefmarke,140
ungeduldig,ungeduldig,140
bügeln,bügeln,139
die Spritze,Spritze,138
die Polizistin,Polizistin,137
die Schusswaffe,Schusswaffe,136
die Verkäuferin,Verkäuferin,135
der Mülleimer,Mülleimer,135
die Windschutzscheibe,Windschutzscheibe,134
die Bluse,Bluse,133
das Unkraut,Unkraut,133
